case1,START,N,entrance,1,0
case1,lake,move west,GOAL,0.8,-10
case1,lake,move west,entrance,0.2,0
case1,lake,move east,entrance,0.8,0
case1,lake,move east,GOAL,0.2,-10
case1,entrance,move west,lake,0.8,0
case1,entrance,move west,forest,0.2,0
case1,entrance,move east,forest,0.8,0
case1,entrance,move east,lake,0.2,0
case1,forest,move west,entrance,0.8,0
case1,forest,move west,GOAL,0.2,10
case1,forest,move east,GOAL,0.8,10
case1,forest,move east,entrance,0.2,0
case1,GOAL,N,entrance,1,0
case2,START,N,entrance,1,0
case2,lake,move west,GOAL,0.8,0
case2,lake,move west,entrance,0.2,10
case2,lake,move east,entrance,0.8,10
case2,lake,move east,GOAL,0.2,0
case2,entrance,move west,lake,0.8,10
case2,entrance,move west,forest,0.2,10
case2,entrance,move east,forest,0.8,10
case2,entrance,move east,lake,0.2,10
case2,forest,move west,entrance,0.8,10
case2,forest,move west,GOAL,0.2,20
case2,forest,move east,GOAL,0.8,20
case2,forest,move east,entrance,0.2,10
case2,GOAL,N,entrance,1,0
case3,START,N,entrance,1,0
case3,lake,move west,GOAL,0.9,-10
case3,lake,move west,entrance,0.1,0
case3,lake,move east,entrance,0.9,0
case3,lake,move east,GOAL,0.1,-10
case3,entrance,move west,lake,0.9,0
case3,entrance,move west,forest,0.1,0
case3,entrance,move east,forest,0.9,0
case3,entrance,move east,lake,0.1,0
case3,forest,move west,entrance,0.9,0
case3,forest,move west,GOAL,0.1,10
case3,forest,move east,GOAL,0.9,10
case3,forest,move east,entrance,0.1,0
case3,GOAL,N,entrance,1,0
case4,START,N,entrance,1,0
case4,lake,move west,GOAL,0.8,-10
case4,lake,move west,entrance,0.2,-1
case4,lake,move east,entrance,0.8,-1
case4,lake,move east,GOAL,0.2,-10
case4,entrance,move west,lake,0.8,-1
case4,entrance,move west,forest,0.2,-1
case4,entrance,move east,forest,0.8,-1
case4,entrance,move east,lake,0.2,-1
case4,forest,move west,entrance,0.8,-1
case4,forest,move west,GOAL,0.2,10
case4,forest,move east,GOAL,0.8,10
case4,forest,move east,entrance,0.2,-1
case4,GOAL,N,entrance,1,0
case5,START,N,entrance,1,0
case5,lake,move west,GOAL,0.8,-10
case5,lake,move west,entrance,0.2,-1
case5,lake,move east,entrance,0.8,-1
case5,lake,move east,GOAL,0.2,-10
case5,entrance,move west,lake,0.8,5
case5,entrance,move west,forest,0.2,-1
case5,entrance,move east,forest,0.8,-1
case5,entrance,move east,lake,0.2,5
case5,forest,move west,entrance,0.8,5
case5,forest,move west,GOAL,0.2,10
case5,forest,move east,GOAL,0.8,10
case5,forest,move east,entrance,0.2,5
case5,GOAL,N,entrance,1,0
